nombre,regular,premium,diesel,ciudad,Pais,CP
TRACIDIECHO S.A. DE C.V.,20.949999999999999,22,22.649999999999999,Tulancingo de Bravo,México,43600
ESTACION SANTA MARIA EL PARAISO SA DE CV,21.02,22.940000000000001,-,Tulancingo de Bravo,México,43600
SERVICIO LIBRAMIENTO LA JOYA S.A. DE C.V.,18.850000000000001,20.32,16.91,Tulancingo de Bravo,México,43600
SERVICIO LA FUENTE SA DE CV,21.09,22.949999999999999,22.789999999999999,Tulancingo de Bravo,México,43600
ESTACION SANTA MARIA CALTENGO SA DE CV,21.02,22.940000000000001,-,Tulancingo de Bravo,México,43600
ESTACION SANTA MARIA LA JOYA SA DE CV,21.02,22.940000000000001,-,Tulancingo de Bravo,México,43600
ESTACION SANTA MARIA SA DE CV,21.02,22.940000000000001,22.68,Tulancingo de Bravo,México,43600
Hidrocarburos San Nicolas S.A. de C.V.,21.09,22.989999999999998,22.870000000000001,Tulancingo de Bravo,México,43600
ACEITES Y COMBUSTIBLES LOS ANGELES S.A. DE C.V.,21.690000000000001,23.489999999999998,22.989999999999998,Tulancingo de Bravo,México,43600
ACEITES Y COMBUSTIBLES LOS ANGELES S.A. DE C.V.,21.190000000000001,23.190000000000001,22.890000000000001,Tulancingo,México,43600
MARIA DEL REFUGIO GARCIA MELLADO,21.149999999999999,23.390000000000001,22.890000000000001,Tulancingo de Bravo,México,43600
FELIPE SIMON OLVERA CASTELAN,20.379999999999999,29.09,-,Tulancingo de Bravo,México,43600
ESTACION SANTA MARIA JARDINES SA DE CV,21.02,22.940000000000001,-,Tulancingo de Bravo,México,43600
LUIS IGNACIO VELASCO OROZCO,21.09,22.989999999999998,22.870000000000001,Tulancingo de Bravo,México,43600
HIDROCARBUROS LAS TORRES SA DE CV,21.190000000000001,23.239999999999998,22.890000000000001,Tulancingo de Bravo,México,43600
PETREOS LAS GLORIAS S.A. DE C.V.,21.989999999999998,23.989999999999998,22.989999999999998,Tulancingo de Bravo,México,43600
PETREOS LAS GLORIAS S.A. DE C.V.,21.989999999999998,23.989999999999998,-,Tulancingo de Bravo,México,43600
PETREOS LAS GLORIAS S.A. DE C.V.,21.989999999999998,23.989999999999998,22.989999999999998,Santiago Tulantepec,México,43600
HIDROCARBUROS HIDALGUENSES S.A. DE C.V.,21.25,23.300000000000001,22.920000000000002,Tulancingo de Bravo,México,43600
PETREOS SOL S.A. DE C.V.,21.989999999999998,23.989999999999998,22.989999999999998,Tulancingo de Bravo,México,43600
AURELIO MARIN HUAZO,21.219999999999999,23.870000000000001,24.109999999999999,Tulancingo de Bravo,México,43600
COMERCIALIZADORA AGROPECUARIA R10 S. P. R. DE R.L,21.350000000000001,23.530000000000001,22.800000000000001,-,-,-
ESTACION SANTA MARIA LA MORENA SA DE CV,21.02,22.940000000000001,22.68,Tulancingo de Bravo,México,43600
COMPAÑIA DE SERVICIOS EL RISCO S.A. DE C.V.,21.59,23.489999999999998,23.890000000000001,Tulancingo,México,43600
